|    type      |   items           |     S        |     T        |     R        |     I        |     D        |     E        | mitigations and countermesures                                                                                                                                                                                           |
|--------------|-------------------|--------------|--------------|--------------|--------------|--------------|--------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| process      | p1                | x            |              | x            | x            | x            | x            | {'Quotas', 'Auditing', 'Availability', 'Authorization', 'log', 'ACL', 'NGFWs', 'Authentication', 'Confidentiality', 'Origin-Integrity', 'Signature', 'Firewalls', 'Cryptology'}                                          |
| process      | p2                | x            | x            | x            | x            | x            | x            | {'Quotas', 'ACL', 'Auditing', 'Availability', 'log', 'Authorization', 'NGFWs', 'Authentication', 'Hash', 'Data-Integrity', 'Confidentiality', 'Permissions', 'Origin-Integrity', 'Signature', 'Firewalls', 'Cryptology'} |
| data_store   | my-db             |              |              |              |              |              |              | set()                                                                                                                                                                                                                    |
| ext_user     | admin             |              |              |              |              |              |              | set()                                                                                                                                                                                                                    |
| ext_user     | p2-admin          |              |              |              |              |              |              | set()                                                                                                                                                                                                                    |
| flow         | admin-check       |              |              |              |              |              |              | set()                                                                                                                                                                                                                    |
| flow         | clear-db          |              |              |              |              |              |              | set()                                                                                                                                                                                                                    |
| flow         | p2-to-p1          |              | x            |              | x            | x            |              | {'Quotas', 'ACL', 'Availability', 'NGFWs', 'Hash', 'Data-Integrity', 'Confidentiality', 'Permissions', 'Firewalls', 'Cryptology'}                                                                                        |
| flow         | p2-administration |              |              |              |              |              |              | set()                                                                                                                                                                                                                    |
